第一批本科高校文史类、理工类投档情况统计表                                                
统计时间：2018年7月18日16时                                                
序号   科类        院校代号        院校名称        投档线        "最低投档排名"
323       理工        1222        延边大学▲        561        21486
324       理工        1223        长春理工大学        548        27073
325       理工        1241        哈尔滨工业大学★        628        3567
326       理工        1242        哈尔滨工程大学▲        594        10411
327       理工        1243        东北农业大学▲        556        23288
328       理工        1244        哈尔滨医科大学        583        13545
329       理工        1245        东北石油大学        537        32287
330       理工        1246        东北林业大学▲        559        22256
331       理工        1247        黑龙江中医药大学        527        38183
332       理工        1281        复旦大学★        683        96
333       理工        1282        同济大学★        656        898
334       理工        1283        上海交通大学★        684        90
335       理工        1284        华东理工大学▲        613        5927
336       理工        1285        东华大学▲        602        8291
337       理工        1286        上海外国语大学▲        628        3454
338       理工        1287        上海财经大学▲        662        603
339       理工        1289        华东政法大学        603        8081
340       理工        1290        上海大学▲        606        7346
341       理工        1291        上海对外经贸大学        597        9449
342       理工        1293        上海交通大学医学院★        668        369
343       理工        1294        上海理工大学        596        9904
344       理工        1296        复旦大学医学院★        669        317
345       理工        1310        中国人民大学(苏州校区)★        635        2661
346       理工        1311        南京大学★        667        384
347       理工        1312        东南大学★        634        2689
348       理工        1313        中国矿业大学▲        587        12291
349       理工        1314        河海大学▲        601        8654
350       理工        1315        南京农业大学▲        585        12831
351       理工        1316        中国药科大学▲        596        9789
352       理工        1317        南京理工大学▲        610        6655
353       理工        1318        南京航空航天大学▲        612        6161
354       理工        1319        苏州大学▲        609        6698
355       理工        1320        南京信息工程大学        581        14070
356       理工        1321        江南大学▲        599        9160
357       理工        1322        江苏大学        585        12840
358       理工        1323        扬州大学        580        14234
359       理工        1324        江苏科技大学        566        19220
360       理工        1325        西交利物浦大学        566        19542
361       理工        1351        浙江大学★        673        235
362       理工        1352        宁波大学        584        13008
363       理工        1353        浙江工业大学        588        11777
364       理工        1354        浙江理工大学        585        12673
365       理工        1355        温州医科大学        597        9590
366       理工        1356        浙江工商大学        592        10865
367       理工        1357        宁波诺丁汉大学        580        14427
368       理工        1358        浙江大学医学院★        659        748
369       理工        1381        合肥工业大学▲        595        9974
370       理工        1382        中国科学技术大学★        669        346
371       理工        1383        安徽大学▲        592        10934
372       理工        1384        合肥工业大学(宣城校区)▲        583        13420
373       理工        1421        厦门大学★        636        2452
374       理工        1422        福州大学▲        600        8871
375       理工        1461        山东大学★        617        5143
376       理工        1462        中国海洋大学★        606        7351
377       理工        1463        中国石油大学(华东)▲        584        13260
378       理工        1464        山东大学威海分校★        604        8008
379       理工        1465        哈尔滨工业大学(威海)★        609        6692
380       理工        1466        青岛科技大学        559        22060
381       理工        1467        北京交通大学(威海校区)▲        577        15489
382       理工        1501        郑州大学▲        592        10895
383       理工        1502        河南大学        562        20940
384       理工        1541        华中农业大学▲        584        12993
385       理工        1542        武汉大学★        641        2007
386       理工        1543        中南财经政法大学▲        615        5581
387       理工        1544        华中科技大学★        634        2767
388       理工        1545        武汉理工大学▲        605        7699
389       理工        1546        中国地质大学(武汉)▲        590        11304
390       理工        1548        武汉科技大学        582        13579
391       理工        1601        湖南大学★        619        4867
392       理工        1602        中南大学★        623        4226
393       理工        1603        湘潭大学        567        18981
394       理工        1661        中山大学★        648        1389
395       理工        1662        华南理工大学★        631        3145
396       理工        1663        华南农业大学        565        19870
397       理工        1664        暨南大学▲        614        5764
398       理工        1665        广州中医药大学        583        13481
399       理工        1666        汕头大学        590        11420
400       理工        1667        广东外语外贸大学        595        10103
401       理工        1668        深圳大学        609        6697
402       理工        1669        南方医科大学        609        6708
403       理工        1671        哈尔滨工业大学(深圳)★        635        2550
404       理工        1721        广西大学▲        565        19643
405       理工        1751        海南大学▲        565        19902
406       理工        1771        重庆大学★        620        4763
407       理工        1772        西南政法大学        601        8734
408       理工        1791        西南交通大学▲        604        7930
409       理工        1792        电子科技大学★        628        3568
410       理工        1793        西南财经大学▲        614        5781
411       理工        1794        四川大学★        626        3808
412       理工        1795        四川农业大学▲        563        20462
413       理工        1796        电子科技大学(沙河校区)★        623        4181
414       理工        1831        贵州大学▲        567        18998
415       理工        1851        云南大学▲        584        13079
416       理工        1871        西安电子科技大学▲        613        5906
417       理工        1872        西北农林科技大学★        587        12049
418       理工        1873        西安交通大学★        634        2697
419       理工        1874        西北大学▲        591        11026
420       理工        1875        西安建筑科技大学        574        16443
421       理工        1876        陕西科技大学        556        23420
422       理工        1877        西北工业大学★        622        4346
423       理工        1878        长安大学▲        591        11154
424       理工        1879        空军军医大学        583        13321
425       理工        1880        陆军军医大学        599        9189
426       理工        1921        兰州大学★        603        8185
427       理工        1941        青海大学▲        558        22391
428       理工        1961        宁夏大学▲        556        23180
429       理工        1981        新疆大学▲        553        24854
430       理工        1982        石河子大学▲        543        29408
431       理工        1983        中国石油大学(北京)克拉玛依校区▲        532        35054
432       理工        2002        北方工业大学        578        15186
433       理工        2004        北京印刷学院        547        27241
434       理工        2005        北京建筑大学        587        12321
435       理工        2007        北京物资学院        556        23157
436       理工        2008        北京信息科技大学        581        13933
437       理工        2010        首都经济贸易大学        597        9511
438       理工        2011        北京工商大学        582        13720
439       理工        2016        北京联合大学        563        20379
440       理工        2020        首都师范大学        583        13393
441       理工        2042        天津科技大学        542        29936
442       理工        2045        天津外国语大学        586        12620
443       理工        2047        天津中医药大学        571        17466
444       理工        2048        天津城建大学        553        24614
445       理工        2049        中国民航大学        561        21143
446       理工        2050        天津理工大学        548        27126
447       理工        2071        河北大学        562        20878
448       理工        2073        华北理工大学        538        31981
449       理工        2081        河北工程大学        543        29163
450       理工        2086        河北医科大学        588        11917
451       理工        2131        山西大学        556        23213
452       理工        2133        中北大学        553        24538
453       理工        2137        山西财经大学        561        21154
454       理工        2139        山西医科大学        602        8388
455       理工        2191        沈阳工业大学        549        26724
456       理工        2192        沈阳航空航天大学        547        27586
